organisation1_name,organisation2_name,num_of_projects
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,PEOPLETRUST S.R.L.,1
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,SEATOPIC,1
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,TOPVIEW SRL,1
INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,PEOPLETRUST S.R.L.,1
INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,SEATOPIC,1
INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,TOPVIEW SRL,1
ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,PEOPLETRUST S.R.L.,1
ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,SEATOPIC,1
ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,TOPVIEW SRL,1
PEOPLETRUST S.R.L.,SEATOPIC,1
PEOPLETRUST S.R.L.,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
PEOPLETRUST S.R.L.,TOPVIEW SRL,1
SEATOPIC,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
SEATOPIC,TOPVIEW SRL,1
SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,TOPVIEW SRL,1
KOC UNIVERSITY,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,1
